question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q1	Parkinson disease	MONDO:0005180	Parkinson disease	APOE	NCBIGene:348	APOE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q2	Alzheimer disease	MONDO:0004975	Alzheimer disease	APP	NCBIGene:351	APP	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q3	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	INS	NCBIGene:3630	INS	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q4	Breast cancer	MONDO:0007254	breast cancer	BRCA1	NCBIGene:672	BRCA1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q5	Colorectal cancer	MONDO:0005575	colorectal cancer	KRAS	NCBIGene:3845	KRAS	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q6	Lung adenocarcinoma	MONDO:0005061	lung adenocarcinoma	EGFR	NCBIGene:1956	EGFR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q7	Melanoma	MONDO:0005105	melanoma	BRAF	NCBIGene:673	BRAF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q8	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	TNF	NCBIGene:7124	TNF	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q9	Inflammatory bowel disease	MONDO:0005265	inflammatory bowel disease	IL23R	NCBIGene:149233	IL23R	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q10	Asthma	MONDO:0004979	asthma	IL4	NCBIGene:3565	IL4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q11	Hypertension	MONDO:0005059	hypertension	ACE	NCBIGene:1636	ACE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q12	Coronary artery disease	MONDO:0005010	coronary artery disease	LDLR	NCBIGene:3949	LDLR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q13	Hypercholesterolemia	MONDO:0004691	hypercholesterolemia	PCSK9	NCBIGene:255738	PCSK9	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q14	Chronic kidney disease	MONDO:0005300	chronic kidney disease	IL6	NCBIGene:3569	IL6	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q15	Systemic lupus erythematosus	MONDO:0007915	systemic lupus erythematosus	STAT4	NCBIGene:6775	STAT4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q16	Multiple sclerosis	MONDO:0005301	multiple sclerosis	HLA-DRB1	NCBIGene:3123	HLA-DRB1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q17	Obesity	MONDO:0005148	obesity	LEP	NCBIGene:3952	LEP	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q18	Schizophrenia	MONDO:0005090	schizophrenia	DRD2	NCBIGene:1813	DRD2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q19	Major depressive disorder	MONDO:0002050	major depressive disorder	SLC6A4	NCBIGene:6532	SLC6A4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q20	Epilepsy	MONDO:0005027	epilepsy	SCN1A	NCBIGene:6323	SCN1A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q21	Parkinson disease	MONDO:0005180	Parkinson disease	LRRK2	NCBIGene:120892	LRRK2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q22	Alzheimer disease	MONDO:0004975	Alzheimer disease	TREM2	NCBIGene:54209	TREM2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q23	Type 1 diabetes mellitus	MONDO:0005147	type 1 diabetes mellitus	HLA-DQB1	NCBIGene:3119	HLA-DQB1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q24	Crohn disease	MONDO:0005011	Crohn disease	NOD2	NCBIGene:64127	NOD2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q25	Psoriasis	MONDO:0005083	psoriasis	IL17A	NCBIGene:3605	IL17A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q26	Breast cancer	MONDO:0007254	breast cancer	ESR1	NCBIGene:2099	ESR1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q27	Prostate cancer	MONDO:0004992	prostate cancer	AR	NCBIGene:367	AR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q28	Ovarian cancer	MONDO:0005140	ovarian cancer	BRCA2	NCBIGene:675	BRCA2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q29	Glioblastoma	MONDO:0005142	glioblastoma	PTEN	NCBIGene:5728	PTEN	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q30	Leukemia	MONDO:0005092	leukemia	ABL1	NCBIGene:25	ABL1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q31	TNF	NCBIGene:7124	TNF	Infliximab	CHEBI:70439	infliximab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q32	IL6	NCBIGene:3569	IL6	Tocilizumab	CHEBI:64323	tocilizumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q33	EGFR	NCBIGene:1956	EGFR	Erlotinib	CHEBI:49668	erlotinib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q34	BRAF	NCBIGene:673	BRAF	Vemurafenib	CHEBI:63637	vemurafenib	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q35	INS	NCBIGene:3630	INS	Metformin	CHEBI:6801	metformin	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q36	PCSK9	NCBIGene:255738	PCSK9	Evolocumab	CHEBI:82743	evolocumab	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q37	ACE	NCBIGene:1636	ACE	Lisinopril	CHEBI:63627	lisinopril	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q38	DRD2	NCBIGene:1813	DRD2	Risperidone	CHEBI:8871	risperidone	SUBJ:GENE_NCBI|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
