question_id	subject_text	subject_curie	subject_label	object_text	object_curie	object_label	notes
Q101	Migraine	MONDO:0005142	migraine	CACNA1A	NCBIGene:773	CACNA1A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q102	Tourette syndrome	MONDO:0005146	Tourette syndrome	SLITRK1	NCBIGene:57152	SLITRK1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q103	Autism spectrum disorder	MONDO:0005260	autism spectrum disorder	SHANK3	NCBIGene:85358	SHANK3	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q104	Bipolar disorder	MONDO:0004985	bipolar disorder	CACNA1C	NCBIGene:775	CACNA1C	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q105	Attention deficit hyperactivity disorder	MONDO:0004977	ADHD	DRD4	NCBIGene:1815	DRD4	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q106	Prion disease	MONDO:0009071	prion disease	PRNP	NCBIGene:5621	PRNP	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q107	Creutzfeldt-Jakob disease	MONDO:0005115	Creutzfeldt-Jakob disease	PRNP	NCBIGene:5621	PRNP	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q108	Spinal muscular atrophy	MONDO:0009661	spinal muscular atrophy	SMN1	NCBIGene:6606	SMN1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q109	Duchenne muscular dystrophy	MONDO:0009726	Duchenne muscular dystrophy	DMD	NCBIGene:1756	DMD	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q110	Myotonic dystrophy	MONDO:0009727	myotonic dystrophy	DMPK	NCBIGene:1760	DMPK	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q111	Sarcoidosis	MONDO:0005097	sarcoidosis	BTNL2	NCBIGene:56244	BTNL2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q112	Tuberculosis	MONDO:0005990	tuberculosis	IFNG	NCBIGene:3458	IFNG	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q113	COVID-19	MONDO:0100096	COVID-19	ACE2	NCBIGene:59272	ACE2	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q114	Influenza	MONDO:0005812	influenza	TLR7	NCBIGene:51284	TLR7	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q115	HIV infection	MONDO:0005109	HIV infection	CCR5	NCBIGene:1234	CCR5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q116	Malaria	MONDO:0005145	malaria	HBB	NCBIGene:3043	HBB	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q117	Sickle cell disease	MONDO:0011382	sickle cell disease	HBB	NCBIGene:3043	HBB	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q118	Thalassemia	MONDO:0011385	thalassemia	HBA1	NCBIGene:3039	HBA1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q119	Hemophilia A	MONDO:0009201	hemophilia A	F8	NCBIGene:2157	F8	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q120	Hemophilia B	MONDO:0009202	hemophilia B	F9	NCBIGene:2158	F9	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q121	Pulmonary fibrosis	MONDO:0008327	pulmonary fibrosis	TGFB1	NCBIGene:7040	TGFB1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q122	COPD	MONDO:0005002	COPD	MMP9	NCBIGene:4318	MMP9	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q123	Emphysema	MONDO:0005692	emphysema	SERPINA1	NCBIGene:5265	SERPINA1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q124	Sleep apnea	MONDO:0005143	sleep apnea	LEPR	NCBIGene:3953	LEPR	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q125	Narcolepsy	MONDO:0005127	narcolepsy	HCRT	NCBIGene:3060	HCRT	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q126	Cirrhosis	MONDO:0005087	cirrhosis	TIMP1	NCBIGene:7076	TIMP1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q127	Primary biliary cholangitis	MONDO:0005141	primary biliary cholangitis	IL12A	NCBIGene:3592	IL12A	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q128	Wilson disease	MONDO:0009274	Wilson disease	ATP7B	NCBIGene:540	ATP7B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q129	Hemochromatosis	MONDO:0005149	hemochromatosis	HFE	NCBIGene:3077	HFE	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q130	Paget disease of bone	MONDO:0005144	Paget disease of bone	SQSTM1	NCBIGene:8878	SQSTM1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q131	Fibromyalgia	MONDO:0005140	fibromyalgia	COMT	NCBIGene:1312	COMT	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q132	Chronic fatigue syndrome	MONDO:0005404	chronic fatigue syndrome	NR3C1	NCBIGene:2908	NR3C1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q133	PTSD	MONDO:0005167	PTSD	FKBP5	NCBIGene:2289	FKBP5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q134	Alcohol use disorder	MONDO:0005147	alcohol use disorder	ADH1B	NCBIGene:125	ADH1B	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q135	Opioid dependence	MONDO:0005146	opioid dependence	OPRM1	NCBIGene:4988	OPRM1	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q136	Nicotine dependence	MONDO:0005145	nicotine dependence	CHRNA5	NCBIGene:1138	CHRNA5	SUBJ:DISEASE_MONDO|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q137	Alzheimer disease	MONDO:0004975	Alzheimer disease	Donepezil	CHEBI:53289	donepezil	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q138	Parkinson disease	MONDO:0005180	Parkinson disease	Levodopa	CHEBI:15765	levodopa	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q139	Epilepsy	MONDO:0005027	epilepsy	Carbamazepine	CHEBI:3387	carbamazepine	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q140	Schizophrenia	MONDO:0005090	schizophrenia	Clozapine	CHEBI:3766	clozapine	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q141	Bipolar disorder	MONDO:0004985	bipolar disorder	Lithium	CHEBI:30145	lithium	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q142	Major depressive disorder	MONDO:0002050	major depressive disorder	Sertraline	CHEBI:6376	sertraline	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q143	Type 2 diabetes mellitus	MONDO:0005148	Type 2 diabetes mellitus	Semaglutide	CHEBI:82616	semaglutide	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q144	Asthma	MONDO:0004979	asthma	Omalizumab	CHEBI:82742	omalizumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q145	Rheumatoid arthritis	MONDO:0008383	rheumatoid arthritis	Methotrexate	CHEBI:44185	methotrexate	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q146	Psoriasis	MONDO:0005083	psoriasis	Adalimumab	CHEBI:82741	adalimumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=4
Q147	Crohn disease	MONDO:0005011	Crohn disease	Vedolizumab	CHEBI:82746	vedolizumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q148	Multiple sclerosis	MONDO:0005301	multiple sclerosis	Interferon beta-1a	CHEBI:64043	interferon beta-1a	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q149	Osteoporosis	MONDO:0005184	osteoporosis	Denosumab	CHEBI:82747	denosumab	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=3
Q150	Hypercholesterolemia	MONDO:0004691	hypercholesterolemia	Ezetimibe	CHEBI:4912	ezetimibe	SUBJ:DISEASE_MONDO|OBJ:DRUG_CHEBI|ROBOKOP_EDGES=2
Q151	TP53	NCBIGene:7157	TP53	BAX	NCBIGene:581	BAX	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q152	STAT1	NCBIGene:6772	STAT1	IRF1	NCBIGene:3659	IRF1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q153	NFKB1	NCBIGene:4790	NFKB1	RELA	NCBIGene:5970	RELA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q154	APOE	NCBIGene:348	APOE	LPL	NCBIGene:4023	LPL	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q155	PINK1	NCBIGene:65018	PINK1	PARK7	NCBIGene:11315	PARK7	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q156	PSEN1	NCBIGene:5663	PSEN1	APP	NCBIGene:351	APP	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q157	SMAD2	NCBIGene:4087	SMAD2	SMAD4	NCBIGene:4089	SMAD4	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q158	GSK3B	NCBIGene:2932	GSK3B	CTNNB1	NCBIGene:1499	CTNNB1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q159	CD40	NCBIGene:958	CD40	CD40LG	NCBIGene:959	CD40LG	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q160	IL10	NCBIGene:3586	IL10	IL10RA	NCBIGene:3587	IL10RA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q161	IFNAR1	NCBIGene:3454	IFNAR1	IFNAR2	NCBIGene:3455	IFNAR2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q162	CXCR4	NCBIGene:7852	CXCR4	CXCL12	NCBIGene:6387	CXCL12	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q163	VEGFR2	NCBIGene:3791	KDR	VEGFA	NCBIGene:7422	VEGFA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q164	FGF2	NCBIGene:2247	FGF2	FGFR1	NCBIGene:2260	FGFR1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q165	ERK1	NCBIGene:5594	MAPK1	DUSP6	NCBIGene:1848	DUSP6	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q166	JUN	NCBIGene:3725	JUN	FOS	NCBIGene:2353	FOS	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q167	CREB1	NCBIGene:1385	CREB1	CBP	NCBIGene:2033	CREBBP	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q168	NRF2	NCBIGene:4780	NFE2L2	KEAP1	NCBIGene:9817	KEAP1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q169	PPARA	NCBIGene:5465	PPARA	RXRA	NCBIGene:6256	RXRA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q170	ESR1	NCBIGene:2099	ESR1	PGR	NCBIGene:5241	PGR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q171	AR	NCBIGene:367	AR	KDM1A	NCBIGene:23028	KDM1A	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q172	HIF1A	NCBIGene:3091	HIF1A	EPAS1	NCBIGene:2034	EPAS1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q173	TLR4	NCBIGene:7099	TLR4	MYD88	NCBIGene:4615	MYD88	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q174	NOD2	NCBIGene:64127	NOD2	RIPK2	NCBIGene:8767	RIPK2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q175	CASP3	NCBIGene:836	CASP3	CASP9	NCBIGene:842	CASP9	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q176	BCL2	NCBIGene:596	BCL2	BAX	NCBIGene:581	BAX	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q177	NOTCH1	NCBIGene:4851	NOTCH1	JAG1	NCBIGene:182	JAG1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q178	KRAS	NCBIGene:3845	KRAS	RAF1	NCBIGene:5894	RAF1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q179	PIK3CA	NCBIGene:5290	PIK3CA	AKT1	NCBIGene:207	AKT1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
Q180	PTEN	NCBIGene:5728	PTEN	PIK3CA	NCBIGene:5290	PIK3CA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q181	BRCA1	NCBIGene:672	BRCA1	BARD1	NCBIGene:580	BARD1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q182	RAD51	NCBIGene:5888	RAD51	BRCA2	NCBIGene:675	BRCA2	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q183	ATM	NCBIGene:472	ATM	ATR	NCBIGene:545	ATR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q184	CHEK2	NCBIGene:11200	CHEK2	TP53	NCBIGene:7157	TP53	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q185	SIRT1	NCBIGene:23411	SIRT1	FOXO1	NCBIGene:2308	FOXO1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q186	AMPK	NCBIGene:5562	PRKAA1	MTOR	NCBIGene:2475	MTOR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q187	EIF2AK3	NCBIGene:9451	EIF2AK3	XBP1	NCBIGene:7494	XBP1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q188	ATG5	NCBIGene:9474	ATG5	ATG12	NCBIGene:9140	ATG12	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q189	ULK1	NCBIGene:8408	ULK1	ATG13	NCBIGene:9776	ATG13	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q190	P53	NCBIGene:7157	TP53	MDM4	NCBIGene:4194	MDM4	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q191	CD28	NCBIGene:940	CD28	CD80	NCBIGene:941	CD80	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q192	ICOS	NCBIGene:29851	ICOS	ICOSLG	NCBIGene:23308	ICOSLG	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q193	LAG3	NCBIGene:3902	LAG3	LGALS3	NCBIGene:3958	LGALS3	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q194	TIGIT	NCBIGene:201633	TIGIT	PVR	NCBIGene:5817	PVR	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=2
Q195	KIT	NCBIGene:3815	KIT	SCF	NCBIGene:4254	KITLG	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q196	FLT3	NCBIGene:2322	FLT3	FLT3LG	NCBIGene:2323	FLT3LG	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q197	CSF1R	NCBIGene:1436	CSF1R	CSF1	NCBIGene:1435	CSF1	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=4
Q198	PDGFRB	NCBIGene:5159	PDGFRB	PDGFRA	NCBIGene:5156	PDGFRA	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q199	AXL	NCBIGene:558	AXL	GAS6	NCBIGene:2621	GAS6	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=3
Q200	MET	NCBIGene:4233	MET	HGF	NCBIGene:3082	HGF	SUBJ:GENE_NCBI|OBJ:GENE_NCBI|ROBOKOP_EDGES=5
