question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q100	100	1.02	0.97	3.0	0.955	0.3233333333333333	0.48200000000000004	0.97	0.99
Q136	100	0.82	0.65	2.0	0.595	0.325	0.415	0.65	0.71
Q157	100	1.19	0.84	4.0	0.7483333333333333	0.21	0.32352380952380955	0.84	1.0
Q94	100	0.96	0.6	3.0	0.57	0.2	0.294	0.6	0.9
Q93	100	1.21	0.91	5.0	0.8033333333333332	0.182	0.2929761904761905	0.91	0.99
Q128	100	1.34	1.09	6.0	0.795	0.18166666666666664	0.28988095238095235	0.85	0.98
Q87	100	1.1	0.82	5.0	0.77	0.16400000000000003	0.2685714285714286	0.82	1.0
Q159	100	1.01	0.81	5.0	0.7733333333333333	0.162	0.26630952380952383	0.81	0.93
Q126	100	1.25	0.71	5.0	0.5883333333333334	0.14200000000000002	0.2248809523809524	0.71	1.0
Q123	100	0.74	0.66	5.0	0.65	0.132	0.21904761904761907	0.66	0.72
Q109	100	1.07	0.84	7.0	0.805	0.12	0.20805555555555558	0.84	1.0
Q163	100	1.34	0.84	7.0	0.68	0.12	0.20072222222222222	0.84	1.0
Q120	100	1.03	1.0	9.0	0.94	0.1111111111111111	0.1978181818181818	0.94	0.97
Q161	100	0.9	0.6	7.0	0.5633333333333334	0.08571428571428572	0.14783333333333334	0.6	0.82
Q127	100	1.25	0.51	7.0	0.36833333333333335	0.07285714285714286	0.11911111111111111	0.47	1.0
