prompt_version	question_id	n_runs	mean_edges	median_edges	min_edges	max_edges	zero_edge_rate
v2	Q1	25	1.0	1.0	1	1	0.0
v2	Q10	25	0.04	0.0	0	1	0.96
v2	Q100	25	1.0	1.0	1	1	0.0
v2	Q101	25	0.0	0.0	0	0	1.0
v2	Q102	25	1.0	1.0	1	1	0.0
v2	Q103	25	0.28	0.0	0	1	0.72
v2	Q104	25	1.0	1.0	1	1	0.0
v2	Q105	25	1.0	1.0	1	1	0.0
v2	Q106	25	1.0	1.0	1	1	0.0
v2	Q107	25	1.0	1.0	1	1	0.0
v2	Q108	25	0.44	0.0	0	1	0.56
v2	Q109	25	1.0	1.0	1	1	0.0
v2	Q11	25	0.0	0.0	0	0	1.0
v2	Q110	25	0.96	1.0	0	1	0.04
v2	Q111	25	1.0	1.0	1	1	0.0
v2	Q112	25	1.0	1.0	1	1	0.0
v2	Q113	25	1.0	1.0	1	1	0.0
v2	Q114	25	1.0	1.0	1	1	0.0
v2	Q115	25	0.96	1.0	0	1	0.04
v2	Q116	25	1.0	1.0	1	1	0.0
v2	Q117	25	1.0	1.0	1	1	0.0
v2	Q118	25	1.0	1.0	1	1	0.0
v2	Q119	25	0.92	1.0	0	1	0.08
v2	Q12	25	0.76	1.0	0	1	0.24
v2	Q120	25	1.0	1.0	1	1	0.0
v2	Q121	25	0.0	0.0	0	0	1.0
v2	Q122	25	0.44	0.0	0	1	0.56
v2	Q123	25	0.96	1.0	0	1	0.04
v2	Q124	25	1.0	1.0	1	1	0.0
v2	Q125	25	1.0	1.0	1	1	0.0
v2	Q126	25	1.0	1.0	1	1	0.0
v2	Q127	25	1.0	1.0	1	1	0.0
v2	Q128	25	1.0	1.0	1	1	0.0
v2	Q129	25	1.0	1.0	1	1	0.0
v2	Q13	25	0.08	0.0	0	1	0.92
v2	Q130	25	1.0	1.0	1	1	0.0
v2	Q131	25	1.0	1.0	1	1	0.0
v2	Q132	25	1.0	1.0	1	1	0.0
v2	Q133	25	0.32	0.0	0	1	0.68
v2	Q134	25	1.0	1.0	1	1	0.0
v2	Q135	25	0.48	0.0	0	1	0.52
v2	Q136	25	1.0	1.0	1	1	0.0
v2	Q137	25	1.0	1.0	1	1	0.0
v2	Q138	25	1.0	1.0	1	1	0.0
v2	Q139	25	1.0	1.0	1	1	0.0
v2	Q14	25	0.0	0.0	0	0	1.0
v2	Q140	25	1.0	1.0	1	1	0.0
v2	Q141	25	1.0	1.0	1	1	0.0
v2	Q142	25	0.88	1.0	0	1	0.12
v2	Q143	25	1.0	1.0	1	1	0.0
v2	Q144	25	1.0	1.0	1	1	0.0
v2	Q145	25	1.0	1.0	1	1	0.0
v2	Q146	25	1.0	1.0	1	1	0.0
v2	Q147	25	0.68	1.0	0	1	0.32
v2	Q148	25	0.96	1.0	0	1	0.04
v2	Q149	25	0.36	0.0	0	1	0.64
v2	Q15	25	1.0	1.0	1	1	0.0
v2	Q150	25	0.8	1.0	0	1	0.2
v2	Q151	25	0.16	0.0	0	1	0.84
v2	Q152	25	0.88	1.0	0	1	0.12
v2	Q153	25	0.0	0.0	0	0	1.0
v2	Q154	25	1.0	1.0	1	1	0.0
v2	Q155	25	1.0	1.0	1	1	0.0
v2	Q156	25	1.0	1.0	1	1	0.0
v2	Q157	25	1.0	1.0	1	1	0.0
v2	Q158	25	1.0	1.0	1	1	0.0
v2	Q159	25	1.0	1.0	1	1	0.0
v2	Q16	25	1.0	1.0	1	1	0.0
v2	Q160	25	0.96	1.0	0	1	0.04
v2	Q161	25	0.64	1.0	0	1	0.36
v2	Q162	25	1.0	1.0	1	1	0.0
v2	Q163	25	1.0	1.0	1	1	0.0
v2	Q17	25	1.0	1.0	1	1	0.0
v2	Q18	25	0.0	0.0	0	0	1.0
v2	Q19	25	0.04	0.0	0	1	0.96
v2	Q2	25	1.0	1.0	1	1	0.0
v2	Q20	25	1.0	1.0	1	1	0.0
v2	Q21	25	1.0	1.0	1	1	0.0
v2	Q22	25	1.0	1.0	1	1	0.0
v2	Q23	25	0.4	0.0	0	1	0.6
v2	Q24	25	0.68	1.0	0	1	0.32
v2	Q25	25	1.0	1.0	1	1	0.0
v2	Q26	25	0.08	0.0	0	1	0.92
v2	Q27	25	0.0	0.0	0	0	1.0
v2	Q28	25	1.0	1.0	1	1	0.0
v2	Q29	25	1.0	1.0	1	1	0.0
v2	Q3	25	0.6	1.0	0	1	0.4
v2	Q30	25	1.0	1.0	1	1	0.0
v2	Q31	25	0.4	0.0	0	1	0.6
v2	Q32	25	1.0	1.0	1	1	0.0
v2	Q33	25	1.0	1.0	1	1	0.0
v2	Q34	25	0.12	0.0	0	1	0.88
v2	Q35	25	0.0	0.0	0	0	1.0
v2	Q36	25	1.0	1.0	1	1	0.0
v2	Q37	25	0.0	0.0	0	0	1.0
v2	Q38	25	1.0	1.0	1	1	0.0
v2	Q39	25	0.04	0.0	0	1	0.96
v2	Q4	25	0.0	0.0	0	0	1.0
v2	Q40	25	1.0	1.0	1	1	0.0
v2	Q41	25	0.52	1.0	0	1	0.48
v2	Q42	25	1.0	1.0	1	1	0.0
v2	Q43	25	1.0	1.0	1	1	0.0
v2	Q44	25	1.0	1.0	1	1	0.0
v2	Q45	25	0.52	1.0	0	1	0.48
v2	Q46	25	1.0	1.0	1	1	0.0
v2	Q47	25	0.24	0.0	0	1	0.76
v2	Q48	25	1.0	1.0	1	1	0.0
v2	Q49	25	0.16	0.0	0	1	0.84
v2	Q5	25	0.0	0.0	0	0	1.0
v2	Q50	25	1.0	1.0	1	1	0.0
v2	Q51	25	0.92	1.0	0	1	0.08
v2	Q52	25	1.0	1.0	1	1	0.0
v2	Q53	25	0.0	0.0	0	0	1.0
v2	Q54	25	1.0	1.0	1	1	0.0
v2	Q55	25	1.0	1.0	1	1	0.0
v2	Q56	25	0.0	0.0	0	0	1.0
v2	Q57	25	1.0	1.0	1	1	0.0
v2	Q58	25	0.0	0.0	0	0	1.0
v2	Q59	25	0.76	1.0	0	1	0.24
v2	Q6	25	0.0	0.0	0	0	1.0
v2	Q60	25	0.0	0.0	0	0	1.0
v2	Q61	25	1.0	1.0	1	1	0.0
v2	Q62	25	0.32	0.0	0	1	0.68
v2	Q63	25	0.52	1.0	0	1	0.48
v2	Q64	25	1.0	1.0	1	1	0.0
v2	Q65	25	0.0	0.0	0	0	1.0
v2	Q66	25	1.0	1.0	1	1	0.0
v2	Q67	25	1.0	1.0	1	1	0.0
v2	Q68	25	1.0	1.0	1	1	0.0
v2	Q69	25	0.88	1.0	0	1	0.12
v2	Q7	25	1.0	1.0	1	1	0.0
v2	Q70	25	1.0	1.0	1	1	0.0
v2	Q71	25	1.0	1.0	1	1	0.0
v2	Q72	25	1.0	1.0	1	1	0.0
v2	Q73	25	0.0	0.0	0	0	1.0
v2	Q74	25	0.96	1.0	0	1	0.04
v2	Q75	25	1.0	1.0	1	1	0.0
v2	Q76	25	1.0	1.0	1	1	0.0
v2	Q77	25	1.0	1.0	1	1	0.0
v2	Q78	25	1.0	1.0	1	1	0.0
v2	Q79	25	1.0	1.0	1	1	0.0
v2	Q8	25	1.0	1.0	1	1	0.0
v2	Q80	25	1.0	1.0	1	1	0.0
v2	Q81	25	1.0	1.0	1	1	0.0
v2	Q82	25	1.0	1.0	1	1	0.0
v2	Q83	25	1.0	1.0	1	1	0.0
v2	Q84	25	1.0	1.0	1	1	0.0
v2	Q85	25	1.0	1.0	1	1	0.0
v2	Q86	25	0.2	0.0	0	1	0.8
v2	Q87	25	1.0	1.0	1	1	0.0
