question_id	n_runs	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability
Q1	100	1.06	0.1364	0.36932370625238775	0.04	0.8327272727272731	0.8327272727272731
Q10	100	0.0	0.0	0.0	1.0	1.0	1.0
Q100	100	1.02	0.039599999999999996	0.19899748742132398	0.01	0.9120538720538719	0.9120538720538719
Q101	100	0.0	0.0	0.0	1.0	1.0	1.0
Q102	100	1.24	0.26239999999999997	0.5122499389946279	0.0	0.35095286195286224	0.35095286195286224
Q103	100	0.03	0.029099999999999997	0.1705872210923198	0.97	0.9408080808080808	0.9408080808080808
Q104	100	1.16	0.1344	0.3666060555964672	0.0	0.7145454545454551	0.7145454545454551
Q105	100	1.16	0.1344	0.3666060555964672	0.0	0.6373063973063976	0.6373063973063976
Q106	100	1.02	0.0596	0.24413111231467405	0.02	0.5582828282828283	0.5582828282828283
Q107	100	1.19	0.1539	0.39230090491866065	0.0	0.7464309764309771	0.7464309764309771
Q108	100	1.05	0.1275	0.3570714214271425	0.04	0.6280808080808082	0.6280808080808082
Q109	100	1.07	0.06509999999999999	0.25514701644346144	0.0	0.6577104377104379	0.6577104377104379
Q11	100	0.0	0.0	0.0	1.0	1.0	1.0
Q110	100	1.14	0.1604	0.4004996878900157	0.02	0.8093939393939392	0.8093939393939392
Q111	100	1.14	0.22039999999999998	0.4694677837722201	0.05	0.7581818181818182	0.7581818181818182
Q112	100	1.26	0.2324	0.482078831727758	0.0	0.5401010101010112	0.5401010101010112
Q113	100	1.22	0.2916	0.54	0.0	0.6324309764309778	0.6324309764309778
Q114	100	1.17	0.1411	0.375632799419859	0.0	0.6300336700336704	0.6300336700336704
Q115	100	1.25	0.1875	0.4330127018922193	0.0	0.6976094276094295	0.6976094276094295
Q116	100	1.27	0.19709999999999997	0.4439594576084622	0.0	0.5257912457912467	0.5257912457912467
Q117	100	1.1	0.09	0.3	0.0	0.6411447811447815	0.6411447811447815
Q118	100	1.16	0.1344	0.3666060555964672	0.0	0.6919865319865325	0.6919865319865325
Q119	100	1.11	0.2379	0.4877499359302879	0.07	0.5613468013468008	0.5613468013468008
Q12	100	0.05	0.0475	0.21794494717703367	0.95	0.9032323232323233	0.9032323232323233
Q120	100	1.03	0.0891	0.298496231131986	0.03	0.7611447811447813	0.7611447811447813
Q121	100	0.07	0.06509999999999999	0.25514701644346144	0.93	0.8660606060606061	0.8660606060606061
Q122	100	0.31	0.21389999999999998	0.46249324319388707	0.69	0.5036363636363637	0.5036363636363637
Q123	100	0.74	0.2324	0.482078831727758	0.28	0.49814814814814806	0.49814814814814806
Q124	100	1.17	0.1411	0.375632799419859	0.0	0.48404040404040377	0.48404040404040377
Q125	100	1.28	0.34159999999999996	0.5844655678480982	0.01	0.6247777777777802	0.6247777777777802
Q126	100	1.25	0.2075	0.45552167895721496	0.0	0.4184006734006728	0.4184006734006728
Q127	100	1.25	0.2275	0.47696960070847283	0.0	0.33360269360269285	0.33360269360269285
Q128	100	1.34	0.3044	0.5517245689653488	0.02	0.4054208754208732	0.4054208754208732
