question_id	n_runs_x	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability	n_runs_y	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	1.0	0.0	0.0	0.0	1.0	1.0	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q10	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56	25	0.28	0.24	3.0	0.24	0.08	0.12	0.24	0.28
Q101	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.2733333333333333	0.2733333333333333	25	0.76	0.08	5.0	0.08	0.016	0.0266666666666666	0.08	0.76
Q103	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q104	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.44	0.44	25	0.52	0.48	7.0	0.48	0.0685714285714285	0.12	0.48	0.52
Q105	25	1.0	0.0	0.0	0.0	0.92	0.92	25	1.0	0.04	7.0	0.04	0.0057142857142857	0.01	0.04	1.0
Q106	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.44	0.44	25	0.52	0.48	9.0	0.48	0.0533333333333333	0.096	0.48	0.52
Q107	25	0.8	0.16	0.4	0.2	0.6033333333333334	0.6033333333333334	25	0.8	0.04	7.0	0.04	0.0057142857142857	0.01	0.04	0.8
Q108	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667	25	0.08	0.08	5.0	0.08	0.016	0.0266666666666666	0.08	0.08
Q109	25	0.2	0.16000000000000003	0.4	0.8	0.6466666666666666	0.6466666666666666	25	0.2	0.08	7.0	0.08	0.0114285714285714	0.02	0.08	0.2
Q11	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.2	0.16000000000000003	0.4	0.8	0.6666666666666666	0.6533333333333333	25	0.2	0.0	3.0	0.0	0.0	0.0	0.0	0.2
Q111	25	1.0	0.0	0.0	0.0	1.0	0.62	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q112	25	0.92	0.0736	0.2712931993250107	0.08	0.5466666666666666	0.5466666666666666	25	0.92	0.72	7.0	0.72	0.1028571428571428	0.18	0.72	0.92
Q113	25	0.8	0.16	0.4	0.2	0.30333333333333334	0.30333333333333334	25	0.8	0.4	8.0	0.4	0.05	0.0888888888888888	0.4	0.8
Q114	25	1.0	0.0	0.0	0.0	0.41333333333333333	0.41333333333333333	25	1.0	0.4	7.0	0.4	0.0571428571428571	0.1	0.4	1.0
