question_id	n_runs_x	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability	n_runs_y	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	1.0	0.0	0.0	0.0	1.0	0.92	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q10	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q100	25	1.0	0.0	0.0	0.0	0.46	0.46	25	1.0	0.24	3.0	0.24	0.08	0.12	0.24	1.0
Q101	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	1.0	0.0	0.0	0.0	0.5933333333333334	0.5933333333333334	25	1.0	0.16	5.0	0.16	0.032	0.0533333333333333	0.16	1.0
Q103	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56	25	0.28	0.24	8.0	0.24	0.03	0.0533333333333333	0.24	0.28
Q104	25	1.0	0.0	0.0	0.0	0.6466666666666666	0.6466666666666666	25	1.0	0.8	7.0	0.8	0.1142857142857142	0.2	0.8	1.0
Q105	25	1.0	0.0	0.0	0.0	0.4866666666666667	0.4866666666666667	25	1.0	0.56	7.0	0.56	0.08	0.14	0.56	1.0
Q106	25	1.0	0.0	0.0	0.0	0.36	0.36	25	1.0	0.24	9.0	0.24	0.0266666666666666	0.048	0.24	1.0
Q107	25	1.0	0.0	0.0	0.0	0.5466666666666666	0.5466666666666666	25	1.0	0.68	7.0	0.68	0.0971428571428571	0.17	0.68	1.0
Q108	25	0.44	0.2464	0.4963869458396343	0.56	0.4	0.4	25	0.44	0.32	5.0	0.32	0.064	0.1066666666666666	0.32	0.44
Q109	25	1.0	0.0	0.0	0.0	0.3466666666666667	0.3466666666666667	25	1.0	0.2	7.0	0.2	0.0285714285714285	0.05	0.2	1.0
Q11	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.92	0.92	25	0.96	0.0	3.0	0.0	0.0	0.0	0.0	0.96
Q111	25	1.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q112	25	1.0	0.0	0.0	0.0	0.46	0.46	25	1.0	0.64	7.0	0.64	0.0914285714285714	0.16	0.64	1.0
Q113	25	1.0	0.0	0.0	0.0	0.32666666666666666	0.32666666666666666	25	1.0	0.44	8.0	0.44	0.055	0.0977777777777777	0.44	1.0
Q114	25	1.0	0.0	0.0	0.0	0.39	0.39	25	1.0	0.52	7.0	0.52	0.0742857142857142	0.13	0.52	1.0
Q115	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.3433333333333333	0.3433333333333333	25	0.96	0.44	5.0	0.44	0.088	0.1466666666666666	0.44	0.96
Q116	25	1.0	0.0	0.0	0.0	0.49333333333333335	0.49333333333333335	25	1.0	0.04	8.0	0.04	0.005	0.0088888888888888	0.04	1.0
Q117	25	1.0	0.0	0.0	0.0	0.42	0.42	25	1.0	0.24	5.0	0.24	0.048	0.08	0.24	1.0
Q118	25	1.0	0.0	0.0	0.0	0.6033333333333334	0.6033333333333334	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q119	25	0.92	0.0736	0.2712931993250107	0.08	0.29333333333333333	0.29333333333333333	25	0.92	0.36	7.0	0.36	0.0514285714285714	0.09	0.36	0.92
