question_id	n_runs_x	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability	n_runs_y	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	0.2	0.16000000000000003	0.4	0.8	0.6666666666666666	0.6666666666666666	25	0.2	0.0	2.0	0.0	0.0	0.0	0.0	0.2
Q10	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q100	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.30333333333333334	0.30333333333333334	25	0.76	0.44	3.0	0.44	0.1466666666666666	0.22	0.44	0.76
Q101	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	0.36	0.2304	0.48	0.64	0.43333333333333335	0.43333333333333335	25	0.36	0.08	5.0	0.08	0.016	0.0266666666666666	0.08	0.36
Q103	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q104	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.7733333333333333	0.7733333333333333	25	0.96	0.08	7.0	0.08	0.0114285714285714	0.02	0.08	0.96
Q105	25	0.64	0.2304	0.48	0.36	0.4266666666666667	0.4266666666666667	25	0.64	0.0	7.0	0.0	0.0	0.0	0.0	0.64
Q106	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q107	25	0.52	0.24960000000000002	0.4995998398718719	0.48	0.4066666666666667	0.4066666666666667	25	0.52	0.44	7.0	0.44	0.0628571428571428	0.11	0.44	0.52
Q108	25	0.24	0.18239999999999998	0.4270831300812524	0.76	0.5933333333333334	0.5933333333333334	25	0.24	0.0	5.0	0.0	0.0	0.0	0.0	0.24
Q109	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667	25	0.08	0.0	7.0	0.0	0.0	0.0	0.0	0.08
Q11	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.6	0.24	0.4898979485566356	0.4	0.5	0.4533333333333333	25	0.6	0.0	3.0	0.0	0.0	0.0	0.0	0.6
Q111	25	0.68	0.21760000000000002	0.46647615158762407	0.32	0.49333333333333335	0.49333333333333335	25	0.68	0.0	1.0	0.0	0.0	0.0	0.0	0.68
Q112	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Q113	25	0.16	0.13439999999999996	0.36660605559646714	0.84	0.7066666666666667	0.7066666666666667	25	0.16	0.08	8.0	0.08	0.01	0.0177777777777777	0.08	0.16
Q114	25	0.48	0.24960000000000002	0.4995998398718719	0.52	0.39	0.39	25	0.48	0.12	7.0	0.12	0.0171428571428571	0.03	0.12	0.48
Q115	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667	25	0.08	0.08	5.0	0.08	0.016	0.0266666666666666	0.08	0.08
Q116	25	0.36	0.2304	0.48	0.64	0.4533333333333333	0.4533333333333333	25	0.36	0.08	8.0	0.08	0.01	0.0177777777777777	0.08	0.36
Q117	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.04	5.0	0.04	0.008	0.0133333333333333	0.04	0.04
Q118	25	0.44	0.2464	0.4963869458396343	0.56	0.4866666666666667	0.4866666666666667	25	0.44	0.0	3.0	0.0	0.0	0.0	0.0	0.44
Q119	25	0.36	0.2304	0.48	0.64	0.46	0.46	25	0.36	0.24	7.0	0.24	0.0342857142857142	0.06	0.24	0.36
Q12	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q120	25	0.24	0.18239999999999998	0.4270831300812524	0.76	0.6033333333333334	0.6033333333333334	25	0.24	0.24	9.0	0.24	0.0266666666666666	0.048	0.24	0.24
Q121	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q122	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q123	25	0.08	0.0736	0.2712931993250107	0.92	0.8466666666666667	0.8466666666666667	25	0.08	0.08	5.0	0.08	0.016	0.0266666666666666	0.08	0.08
Q124	25	0.32	0.2176	0.466476151587624	0.68	0.5233333333333333	0.5233333333333333	25	0.32	0.0	1.0	0.0	0.0	0.0	0.0	0.32
Q125	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.04	5.0	0.04	0.008	0.0133333333333333	0.04	0.04
Q126	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.0	5.0	0.0	0.0	0.0	0.0	0.04
Q127	25	0.08	0.0736	0.2712931993250107	0.92	0.8433333333333334	0.8433333333333334	25	0.08	0.04	7.0	0.04	0.0057142857142857	0.01	0.04	0.08
Q128	25	0.44	0.2464	0.4963869458396343	0.56	0.4266666666666667	0.4266666666666667	25	0.44	0.44	6.0	0.44	0.0733333333333333	0.1257142857142857	0.44	0.44
Q129	25	0.32	0.2976	0.5455272678794342	0.72	0.54	0.54	25	0.32	0.04	8.0	0.02	0.005	0.008	0.04	0.28
Q13	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q130	25	0.08	0.0736	0.2712931993250107	0.92	0.8433333333333334	0.8433333333333334	25	0.08	0.0	8.0	0.0	0.0	0.0	0.0	0.08
Q131	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.0	5.0	0.0	0.0	0.0	0.0	0.04
Q132	25	0.64	0.2304	0.48	0.36	0.4266666666666667	0.4266666666666667	25	0.64	0.56	7.0	0.56	0.08	0.14	0.56	0.64
Q133	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.04	5.0	0.04	0.008	0.0133333333333333	0.04	0.04
Q134	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.30666666666666664	0.30666666666666664	25	0.76	0.48	7.0	0.48	0.0685714285714285	0.12	0.48	0.76
Q135	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q136	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92	25	0.04	0.0	2.0	0.0	0.0	0.0	0.0	0.04
Q137	25	0.2	0.16000000000000003	0.4	0.8	0.6666666666666666	0.6666666666666666	25	0.2	0.0	5.0	0.0	0.0	0.0	0.0	0.2
Q138	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q139	25	0.28	0.2016	0.44899888641287294	0.72	0.58	0.58	25	0.28	0.0	3.0	0.0	0.0	0.0	0.0	0.28
Q14	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	25	1.0	0.0	0.0	0.0	1.0	0.72	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Q142	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Q143	25	0.0	0.0	0.0	1.0	1.0	1.0	25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q144	25	0.4	0.32	0.565685424949238	0.64	0.48333333333333334	0.48333333333333334	25	0.4	0.0	2.0	0.0	0.0	0.0	0.0	0.36
Q145	25	0.64	0.2304	0.48	0.36	0.52	0.33666666666666667	25	0.64	0.0	5.0	0.0	0.0	0.0	0.0	0.64
