question_id	n_runs	edge_count_mean	edge_count_var	edge_count_std	abstention_rate	predicate_set_stability	triple_set_stability
Q1	25	1.0	0.0	0.0	0.0	1.0	0.92
Q10	25	0.04	0.0384	0.19595917942265423	0.96	0.92	0.92
Q100	25	1.0	0.0	0.0	0.0	0.46	0.46
Q101	25	0.0	0.0	0.0	1.0	1.0	1.0
Q102	25	1.0	0.0	0.0	0.0	0.5933333333333334	0.5933333333333334
Q103	25	0.28	0.2016	0.44899888641287294	0.72	0.56	0.56
Q104	25	1.0	0.0	0.0	0.0	0.6466666666666666	0.6466666666666666
Q105	25	1.0	0.0	0.0	0.0	0.4866666666666667	0.4866666666666667
Q106	25	1.0	0.0	0.0	0.0	0.36	0.36
Q107	25	1.0	0.0	0.0	0.0	0.5466666666666666	0.5466666666666666
Q108	25	0.44	0.2464	0.4963869458396343	0.56	0.4	0.4
Q109	25	1.0	0.0	0.0	0.0	0.3466666666666667	0.3466666666666667
Q11	25	0.0	0.0	0.0	1.0	1.0	1.0
Q110	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.92	0.92
Q111	25	1.0	0.0	0.0	0.0	0.6666666666666666	0.6666666666666666
Q112	25	1.0	0.0	0.0	0.0	0.46	0.46
Q113	25	1.0	0.0	0.0	0.0	0.32666666666666666	0.32666666666666666
Q114	25	1.0	0.0	0.0	0.0	0.39	0.39
Q115	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.3433333333333333	0.3433333333333333
Q116	25	1.0	0.0	0.0	0.0	0.49333333333333335	0.49333333333333335
Q117	25	1.0	0.0	0.0	0.0	0.42	0.42
Q118	25	1.0	0.0	0.0	0.0	0.6033333333333334	0.6033333333333334
Q119	25	0.92	0.0736	0.2712931993250107	0.08	0.29333333333333333	0.29333333333333333
Q12	25	0.76	0.18239999999999998	0.4270831300812524	0.24	0.20333333333333334	0.20333333333333334
Q120	25	1.0	0.0	0.0	0.0	0.5466666666666666	0.5466666666666666
Q121	25	0.0	0.0	0.0	1.0	1.0	1.0
Q122	25	0.44	0.2464	0.4963869458396343	0.56	0.42333333333333334	0.42333333333333334
Q123	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.3333333333333333	0.3333333333333333
Q124	25	1.0	0.0	0.0	0.0	0.7066666666666667	0.7066666666666667
Q125	25	1.0	0.0	0.0	0.0	0.3433333333333333	0.3433333333333333
Q126	25	1.0	0.0	0.0	0.0	0.32	0.32
Q127	25	1.0	0.0	0.0	0.0	0.32666666666666666	0.32666666666666666
Q128	25	1.0	0.0	0.0	0.0	0.36	0.36
Q129	25	1.0	0.0	0.0	0.0	0.39	0.39
Q13	25	0.08	0.0736	0.2712931993250107	0.92	0.8433333333333334	0.8433333333333334
Q130	25	1.0	0.0	0.0	0.0	0.6533333333333333	0.6533333333333333
Q131	25	1.0	0.0	0.0	0.0	0.58	0.58
Q132	25	1.0	0.0	0.0	0.0	0.35333333333333333	0.35333333333333333
Q133	25	0.32	0.2176	0.466476151587624	0.68	0.49	0.49
Q134	25	1.0	0.0	0.0	0.0	0.3466666666666667	0.3466666666666667
Q135	25	0.48	0.24960000000000002	0.4995998398718719	0.52	0.41333333333333333	0.41333333333333333
Q136	25	1.0	0.0	0.0	0.0	0.3433333333333333	0.3433333333333333
Q137	25	1.0	0.0	0.0	0.0	1.0	1.0
Q138	25	1.0	0.0	0.0	0.0	1.0	0.92
Q139	25	1.0	0.0	0.0	0.0	1.0	0.8466666666666667
Q14	25	0.0	0.0	0.0	1.0	1.0	1.0
Q140	25	1.0	0.0	0.0	0.0	1.0	0.5466666666666666
Q141	25	1.0	0.0	0.0	0.0	1.0	0.72
Q142	25	0.88	0.1056	0.32496153618543844	0.12	0.78	0.71
Q143	25	1.0	0.0	0.0	0.0	1.0	0.4866666666666667
Q144	25	1.0	0.0	0.0	0.0	0.8466666666666667	0.8466666666666667
Q145	25	1.0	0.0	0.0	0.0	0.72	0.6533333333333333
Q146	25	1.0	0.0	0.0	0.0	1.0	1.0
Q147	25	0.68	0.21760000000000002	0.46647615158762407	0.32	0.3	0.3
Q148	25	0.96	0.038400000000000004	0.19595917942265426	0.04	0.8433333333333334	0.8433333333333334
Q149	25	0.36	0.2304	0.48	0.64	0.43666666666666665	0.43666666666666665
Q15	25	1.0	0.0	0.0	0.0	1.0	0.48
