question_id	run_id	curie1	curie2	gpt_edges	kg_edges	matched_edges	tp	fp	fn	precision	recall	f1	has_any_gpt_edge	has_any_match
Q1	1	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	2	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	3	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	4	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	5	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	6	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	7	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	8	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	9	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	10	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	11	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	12	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	13	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	14	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	15	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	16	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	17	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	18	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	19	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	20	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	21	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	22	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	23	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	24	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q1	25	MONDO:0005180	NCBIGene:348	1	2	0	0	1	2	0.0	0.0	0.0	1	0
Q2	1	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	2	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	3	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	4	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	5	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	6	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	7	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	8	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	9	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	10	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	11	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	12	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	13	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	14	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
Q2	15	MONDO:0005300	NCBIGene:3569	1	5	0	0	1	5	0.0	0.0	0.0	1	0
