question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q1	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q10	25	0.04	0.0	1.0	0.0	0.0	0.0	0.0	0.04
Q100	25	1.0	0.24	3.0	0.24	0.08	0.12	0.24	1.0
Q101	25	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
Q102	25	1.0	0.16	5.0	0.16	0.032	0.05333333333333334	0.16	1.0
Q103	25	0.28	0.24	8.0	0.24	0.03	0.05333333333333333	0.24	0.28
Q104	25	1.0	0.8	7.0	0.8	0.11428571428571427	0.2	0.8	1.0
Q105	25	1.0	0.56	7.0	0.56	0.08	0.14	0.56	1.0
Q106	25	1.0	0.24	9.0	0.24	0.026666666666666665	0.048	0.24	1.0
Q107	25	1.0	0.68	7.0	0.68	0.09714285714285714	0.17	0.68	1.0
Q108	25	0.44	0.32	5.0	0.32	0.064	0.10666666666666667	0.32	0.44
Q109	25	1.0	0.2	7.0	0.2	0.028571428571428567	0.05	0.2	1.0
Q11	25	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Q110	25	0.96	0.0	3.0	0.0	0.0	0.0	0.0	0.96
Q111	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q112	25	1.0	0.64	7.0	0.64	0.09142857142857143	0.16	0.64	1.0
Q113	25	1.0	0.44	8.0	0.44	0.055	0.09777777777777777	0.44	1.0
Q114	25	1.0	0.52	7.0	0.52	0.07428571428571427	0.13	0.52	1.0
Q115	25	0.96	0.44	5.0	0.44	0.08800000000000001	0.14666666666666667	0.44	0.96
Q116	25	1.0	0.04	8.0	0.04	0.005	0.008888888888888889	0.04	1.0
Q117	25	1.0	0.24	5.0	0.24	0.04800000000000001	0.08	0.24	1.0
Q118	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q119	25	0.92	0.36	7.0	0.36	0.05142857142857142	0.09	0.36	0.92
Q12	25	0.76	0.0	1.0	0.0	0.0	0.0	0.0	0.76
Q120	25	1.0	1.0	9.0	1.0	0.1111111111111111	0.2	1.0	1.0
Q121	25	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
Q122	25	0.44	0.0	5.0	0.0	0.0	0.0	0.0	0.44
Q123	25	0.96	0.16	5.0	0.16	0.032	0.05333333333333334	0.16	0.96
Q124	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q125	25	1.0	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	1.0
Q126	25	1.0	0.36	5.0	0.36	0.07200000000000001	0.12000000000000002	0.36	1.0
Q127	25	1.0	0.56	7.0	0.56	0.08	0.14	0.56	1.0
Q128	25	1.0	0.64	6.0	0.64	0.10666666666666666	0.18285714285714286	0.64	1.0
Q129	25	1.0	0.36	8.0	0.36	0.045	0.08	0.36	1.0
Q13	25	0.08	0.0	1.0	0.0	0.0	0.0	0.0	0.08
Q130	25	1.0	0.8	8.0	0.8	0.1	0.17777777777777778	0.8	1.0
Q131	25	1.0	0.72	5.0	0.72	0.14400000000000002	0.24000000000000005	0.72	1.0
Q132	25	1.0	0.44	7.0	0.44	0.06285714285714286	0.11	0.44	1.0
Q133	25	0.32	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.32
Q134	25	1.0	0.32	7.0	0.32	0.045714285714285714	0.08	0.32	1.0
Q135	25	0.48	0.4	9.0	0.4	0.044444444444444446	0.07999999999999999	0.4	0.48
Q136	25	1.0	0.2	2.0	0.2	0.1	0.13333333333333333	0.2	1.0
Q137	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q138	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q139	25	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0
Q14	25	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Q140	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q141	25	1.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0
Q142	25	0.88	0.0	2.0	0.0	0.0	0.0	0.0	0.88
Q143	25	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q144	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q145	25	1.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0
Q146	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q147	25	0.68	0.0	6.0	0.0	0.0	0.0	0.0	0.68
Q148	25	0.96	0.0	7.0	0.0	0.0	0.0	0.0	0.96
Q149	25	0.36	0.0	2.0	0.0	0.0	0.0	0.0	0.36
Q15	25	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0
Q150	25	0.8	0.0	5.0	0.0	0.0	0.0	0.0	0.8
Q151	25	0.16	0.0	1.0	0.0	0.0	0.0	0.0	0.16
Q152	25	0.88	0.0	2.0	0.0	0.0	0.0	0.0	0.88
