question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q131	25	1.0	0.72	5.0	0.72	0.14400000000000002	0.24000000000000005	0.72	1.0
Q93	25	1.0	0.6	5.0	0.6	0.12	0.20000000000000004	0.6	1.0
Q104	25	1.0	0.8	7.0	0.8	0.11428571428571427	0.2	0.8	1.0
Q120	25	1.0	1.0	9.0	1.0	0.1111111111111111	0.2	1.0	1.0
Q128	25	1.0	0.64	6.0	0.64	0.10666666666666666	0.18285714285714286	0.64	1.0
Q130	25	1.0	0.8	8.0	0.8	0.1	0.17777777777777778	0.8	1.0
Q155	25	1.0	0.44	4.0	0.44	0.11	0.17600000000000002	0.44	1.0
Q125	25	1.0	0.52	5.0	0.52	0.10400000000000001	0.17333333333333337	0.52	1.0
Q107	25	1.0	0.68	7.0	0.68	0.09714285714285714	0.17	0.68	1.0
Q112	25	1.0	0.64	7.0	0.64	0.09142857142857143	0.16	0.64	1.0
Q160	25	0.96	0.64	7.0	0.64	0.09142857142857143	0.16	0.64	0.96
Q115	25	0.96	0.44	5.0	0.44	0.08800000000000001	0.14666666666666667	0.44	0.96
Q105	25	1.0	0.56	7.0	0.56	0.08	0.14	0.56	1.0
Q127	25	1.0	0.56	7.0	0.56	0.08	0.14	0.56	1.0
Q136	25	1.0	0.2	2.0	0.2	0.1	0.13333333333333333	0.2	1.0
