question_id	n_runs	mean_gpt_edges	mean_matched_edges	kg_edges	mean_precision	mean_recall	mean_f1	match_rate	gpt_edge_rate
Q87	25	1.04	0.84	5.0	0.82	0.168	0.2780952380952381	0.84	1.0
Q100	25	0.76	0.44	3.0	0.44	0.14666666666666667	0.22	0.44	0.76
Q132	25	0.64	0.56	7.0	0.56	0.08	0.14	0.56	0.64
Q128	25	0.44	0.44	6.0	0.44	0.07333333333333333	0.12571428571428572	0.44	0.44
Q134	25	0.76	0.48	7.0	0.48	0.06857142857142856	0.12	0.48	0.76
Q107	25	0.52	0.44	7.0	0.44	0.06285714285714286	0.11	0.44	0.52
Q154	25	0.24	0.2	5.0	0.2	0.04	0.06666666666666668	0.2	0.24
Q119	25	0.36	0.24	7.0	0.24	0.03428571428571428	0.06	0.24	0.36
Q120	25	0.24	0.24	9.0	0.24	0.026666666666666665	0.048	0.24	0.24
Q163	25	0.28	0.16	7.0	0.16	0.022857142857142857	0.04	0.16	0.28
Q114	25	0.48	0.12	7.0	0.12	0.01714285714285714	0.03	0.12	0.48
Q102	25	0.36	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.36
Q115	25	0.08	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.08
Q123	25	0.08	0.08	5.0	0.08	0.016	0.02666666666666667	0.08	0.08
Q162	25	0.2	0.12	10.0	0.12	0.012000000000000002	0.021818181818181816	0.12	0.2
