question_id	query_edge_key	edge_id	subject	predicate	object	subject_label	object_label	provenance
Q5	e0	e_1	MONDO:0002691	biolink:related_to	NCBIGene:3845	liver cancer	KRAS	infores:hetionet(primary_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_2	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:disgenet(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	e_3	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:ctd(primary_knowledge_source);infores:pharos(aggregator_knowledge_source);infores:automat-robokop(aggregator_knowledge_source)
Q5	e0	uuid:13ff013e-198e-11f0-be82-6045bdb3d4c0_e_15	NCBIGene:3845	biolink:has_phenotype	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_5_e_15	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_6_e_15	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_7_e_16	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_8_e_16	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_9_e_16	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_10_e_16	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_11_e_17	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_12_e_17	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_13_e_18	MONDO:0003059	biolink:related_to	MONDO:0002691	bile duct cancer	liver cancer	infores:automat-robokop(primary_knowledge_source)
Q5	e0	e_14_e_18	NCBIGene:3845	biolink:genetically_associated_with	MONDO:0002691	KRAS	liver cancer	infores:automat-robokop(primary_knowledge_source)
